Key,en,he,it,es,fr,ar,ru
item_Apples_bananas,Apples & Bananas,תפוחים ובננות,Mele e banane,Manzanas y plátanos,Pommes et bananes,تفاح وموز,Яблоки и бананы
item_Apples,Apples,תפוחים,Mele,Manzanas,Pommes,تفاح,Яблоки
item_Bananas,Bananas,בננות,Banane,Plátanos,Bananes,موز,Бананы
item_Citrus_oranges_lemons_,Citrus,פירות הדר,Agrumi,Cítricos,Agrumes,حمضيات,Цитрусовые
item_Oranges,Oranges,תפוזים,Arance,Naranjas,Oranges,برتقال,Апельсины
item_Lemons,Lemons,לימונים,Limoni,Limones,Citrons,ليمون,Лимоны
item_Seasonal_fruits_watermelon_grapes_peaches_strawberries_,Seasonal Fruits,פירות העונה,Frutta di stagione,Frutas de temporada,Fruits de saison,فواكه موسمية,Сезонные фрукты
item_Watermelon,Watermelon,אבטיח,Anguria,Sandía,Pastèque,بطيخ,Арбуз
item_Grapes,Grapes,ענבים,Uva,Uvas,Raisins,عنب,Виноград
item_Peaches,Peaches,אפרסקים,Pesche,Melocotones,Pêches,خوخ,Персики
item_Strawberries,Strawberries,תותים,Fragole,Fresas,Fraises,فراولة,Клубника
item_Berries_blueberries_raspberries_,Berries,פירות יער,Frutti di bosco,Bayas,Baies,توت,Ягоды
item_Blueberries,Blueberries,אוכמניות,Mirtilli,Arándanos,Myrtilles,توت أزرق,Черника
item_Raspberries,Raspberries,פטל,Lamponi,Frambuesas,Framboises,توت عليق,Малина
item_Rice_pasta_ptitim_couscous,Rice & Pasta,אורז ופסטה,Riso e pasta,Arroz y pasta,Riz et pâtes,أرز ومكرونة,Рис и макароны
item_Rice,Rice,אורז,Riso,Arroz,Riz,أرز,Рис
item_Pasta,Pasta,פסטה,Pasta,Pasta,Pâtes,مكرونة,Паста
item_Ptitim,Ptitim,פתיתים,Ptitim,Ptitim,Ptitim,بتيتيم,Жертва
item_Couscous,Couscous,קוסקוס,Couscous,Cuscús,Couscous,كسكس,Кускус
item_Flour_sugar_white_brown_,Flour & Sugar,קמח וסוכר,Farina e zucchero,Harina y azúcar,Farine et sucre,دقيق وسكر,Мука и сахар
item_Flour,Flour,קמח,Farina,Harina,Farine,دقيق,Мука
item_White_sugar,White Sugar,סוכר לבן,Zucchero bianco,Azúcar blanco,Sucre blanc,سكر أبيض,Белый сахар
item_Brown_sugar,Brown Sugar,סוכר חום,Zucchero di canna,Azúcar moreno,Sucre roux,سكر بني,Коричневый сахар
item_Oil_canola_olive_,Oil,שמן,Olio,Aceite,Huile,زيت,Масло
item_Canola_oil,Canola Oil,שמן קנולה,Olio di colza,Aceite de canola,Huile de colza,زيت كانولا,Рапсовое масло
item_Olive_oil,Olive Oil,שמן זית,Olio d'oliva,Aceite de oliva,Huile d'olive,زيت زيتون,Оливковое масло
item_Legumes_lentils_chickpeas_beans_dry_or_frozen_,Legumes,קטניות,Legumi,Legumbres,Légumineuses,بقوليات,Бобовые
item_Lentils,Lentils,עדשים,Lenticchie,Lentejas,Lentilles,عدس,Чечевица
item_Chickpeas,Chickpeas,חומוס (גרגרים),Ceci,Garbanzos,Pois chiches,حمص,Нут
item_Beans,Beans,שעועית,Fagioli,Frijoles,Haricots,فاصوليا,Бобы
item_Quinoa_and_oats,Quinoa & Oats,קינואה ושיבולת שועל,Quinoa e avena,Quinoa y avena,Quinoa et avoine,كينوا وشوفان,Киноа и овес
item_Quinoa,Quinoa,קינואה,Quinoa,Quinoa,Quinoa,كينوا,Лебеда
item_Oats,Oats,שיבולת שועל,Avena,Avena,Avoine,شوفان,Овес
item_Tortillas_and_wraps,Tortillas,טורטיות,Tortillas,Tortillas,Tortillas,تورتيلا,Тортильи
item_Wraps,Wraps,דפי ראפ,Piadine/Wraps,Wraps,Wraps,لفائف,Обертки
item_Salt_table_sea_Himalayan_kosher_,Salt,מלח,Sale,Sal,Sel,ملح,Соль
item_Table_salt,Table Salt,מלח שולחן,Sale da tavola,Sal de mesa,Sel de table,ملح مائدة,Поваренная соль
item_Sea_salt,Sea Salt,מלח ים,Sale marino,Sal marina,Sel de mer,ملح بحري,Морская соль
item_Himalayan_salt,Himalayan Salt,מלח הימלאיה,Sale dell'Himalaya,Sal del Himalaya,Sel de l'Himalaya,ملح هيمالايا,Гималайская соль
item_Black_pepper_ground_and_peppercorns_White_pepper,Black Pepper,פלפל שחור,Pepe nero,Pimienta negra,Poivre noir,فلفل أسود,Черный перец
item_Black_pepper,Black Pepper,פלפל שחור,Pepe nero,Pimienta negra,Poivre noir,فلفل أسود,Черный перец
item_White_pepper,White Pepper,פלפל לבן,Pepe bianco,Pimienta blanca,Poivre blanc,فلفل أبيض,Белый перец
item_Paprika_sweet_hot_smoked_,Paprika,פפריקה,Paprica,Pimentón,Paprika,بابريكا,Паприка
item_Cumin_Turmeric_Coriander_ground_and_seeds_,Cumin & Turmeric,כמון וכורכום,Cumino e curcuma,Comino y cúrcuma,Cumin et curcuma,كمون وكركم,Тмин и куркума
item_Cumin,Cumin,כמון,Cumino,Comino,Cumin,كمون,Тмин
item_Turmeric,Turmeric,כורכום,Curcuma,Cúrcuma,Curcuma,كركم,Куркума
item_Coriander,Coriander,כוסברה (תבלין),Coriandolo,Cilantro,Coriandre,كزبرة,Кориандр
item_Cinnamon_ground_and_sticks_Nutmeg_Cloves_Cardamom,Cinnamon,קינמון,Cannella,Canela,Cannelle,قرفة,Корица
item_Cinnamon,Cinnamon,קינמון,Cannella,Canela,Cannelle,قرفة,Корица
item_Nutmeg,Nutmeg,אגוז מוסקט,Noce moscata,Nuez moscada,Noix de muscade,جوزة الطيب,Мускатный орех
item_Cloves,Cloves,ציפורן,Chiodi di garofano,Clavos,Clous de girofle,قرنفل,Гвоздика
item_Cardamom,Cardamom,הל,Cardamomo,Cardamomo,Cardamome,هيل,Кардамон
item_Ginger_ground_Allspice_Star_anise,Ginger,ג'ינגר,Zenzero,Jengibre,Gingembre,زنجبيل,Имбирь
item_Ginger,Ginger,ג'ינגר,Zenzero,Jengibre,Gingembre,زنجبيل,Имбирь
item_Allspice,Allspice,פלפל אנגלי,Pimento,Pimienta de Jamaica,Piment de la Jamaïque,بهار حلو,Душистый перец
item_Star_anise,Star Anise,כוכב אניס,Anice stellato,Anís estrellado,Anis étoilé,يانسون نجمي,Звездчатый анис
item_Chili_powder_Crushed_red_pepper_flakes_Cayenne_pepper,Chili Powder,צ'ילי גרוס,Peperoncino,Chile en polvo,Piment en poudre,فلفل حار,порошок чили
item_Chili_powder,Chili Powder,אבקת צ'ילי,Peperoncino in polvere,Chile en polvo,Poudre de chili,مسحوق الفلفل الحار,порошок чили
item_Crushed_red_pepper_flakes,Red Pepper Flakes,שבבי פלפל צ'ילי,Fiocchi di peperoncino,Hojuelas de pimiento rojo,Flocons de piment rouge,رقائق فلفل أحمر,Хлопья красного перца
item_Cayenne_pepper,Cayenne Pepper,פלפל קאיין,Pepe di Cayenna,Pimienta de Cayena,Piment de Cayenne,فلفل حريف,Кайенский перец
item_Curry_powder_Garam_Masala_Ras_el_Hanout,Curry Powder,אבקת קארי,Curry,Curry,Curry,كاري,порошок карри
item_Curry_powder,Curry Powder,אבקת קארי,Curry in polvere,Curry en polvo,Poudre de curry,مسحوق الكاري,порошок карри
item_Garam_Masala,Garam Masala,גראם מסאלה,Garam Masala,Garam Masala,Garam Masala,غارام ماسالا,Гарам масала
item_Ras_el_Hanout,Ras el Hanout,ראס אל חנות,Ras el Hanout,Ras el Hanout,Ras el Hanout,رأس الحانوت,Рас эль-Ханут
item_Onion_powder_Garlic_powder,Garlic Powder,אבקת שום,Aglio in polvere,Ajo en polvo,Ail en poudre,ثوم بودرة,Чесночный порошок
item_Onion_powder,Onion Powder,אבקת בצל,Cipolla in polvere,Cebolla en polvo,Poudre d'oignon,مسحوق البصل,Луковый порошок
item_Garlic_powder,Garlic Powder,אבקת שום,Aglio in polvere,Ajo en polvo,Poudre d'ail,مسحوق الثوم,Чесночный порошок
item_Oregano_Basil_Thyme_Rosemary_dried_,Oregano & Basil,אורגנו ובזיליקום,Origano e basilico,Orégano y albahaca,Origan et basilic,أوريجانو وريحان,Орегано и базилик
item_Oregano,Oregano,אורגנו,Origano,Orégano,Origan,أوريغانو,Орегано
item_Basil,Basil,בזיליקום,Basilico,Albahaca,Basilic,ريحان,Базилик
item_Thyme,Thyme,טימין,Timo,Tomillo,Thym,زعتر,Тимьян
item_Rosemary,Rosemary,רוזמרין,Rosmarino,Romero,Romarin,إكليل الجبل,Розмари
item_Parsley_Dill_Tarragon_Sage_dried_,Dried Herbs,עשבי תיבול יבשים,Erbe essiccate,Hierbas secas,Herbes séchées,أعشاب مجففة,Сушеные травы
item_Dill,Dill,שמיר,Aneto,Eneldo,Aneth,شبت,Укроп
item_Tarragon,Tarragon,טרגון,Dragoncello,Estragón,Estragon,طرخون,Таррагон
item_Sage,Sage,מרווה,Salvia,Salvia,Sauge,مريمية,Мудрец
item_Bay_leaves_Saffron,Bay Leaves,עלי דפנה,Foglie di alloro,Hojas de laurel,Feuilles de laurier,أوراق الغار,Лавровые листья
item_Bay_leaves,Bay Leaves,עלי דפנה,Foglie di alloro,Hojas de laurel,Feuilles de laurier,ورق الغار,Лавровые листья
item_Saffron,Saffron,זעפרן,Zafferano,Azafrán,Safran,زعفران,Шафран
item_Sumac_Za_atar_Baharat,Za'atar,זעתר וסומאק,Za'atar,Za'atar,Za'atar,زعتر,Заатар
item_Sumac,Sumac,סומאק,Sommacco,Zumaque,Sumac,سماق,Сумах
item_Za_atar,Za'atar,זעתר,Za'atar,Za'atar,Za'atar,زعتر,Заатар
item_Baharat,Baharat,בהרט,Baharat,Baharat,Baharat,بهارات,Бахарат
item_Mustard_seeds_Fennel_seeds,Mustard Seeds,זרעי חרדל,Semi di senape,Semillas de mostaza,Graines de moutarde,بذور الخردل,Семена горчицы
item_Mustard_seeds,Mustard Seeds,זרעי חרדל,Semi di senape,Semillas de mostaza,Graines de moutarde,بذور الخردل,Семена горчицы
item_Fennel_seeds,Fennel Seeds,זרעי שומר,Semi di finocchio,Semillas de hinojo,Graines de fenouil,بذور الشمر,Семена фенхеля
item_Chicken_grill_and_steak_seasoning_blends,Grill Seasoning,תבלין לגריל,Aromi per griglia,Sazonador de parrilla,Assaisonnement grill,بهارات شواء,Приправа для гриля
item_Chicken_seasoning,Chicken Seasoning,תבלין לעוף,Insaporitore per pollo,Sazonador para pollo,Épices pour poulet,بهارات دجاج,Приправа для курицы
item_Grill_seasoning,Grill Seasoning,תבלין לגריל,Insaporitore per griglia,Sazonador de parrilla,Épices pour grillades,بهارات شواء,Приправа для гриля
item_Steak_seasoning,Steak Seasoning,תבלין לסטייק,Insaporitore per bistecca,Sazonador para carne,Épices pour steak,بهارات ستيك,Приправа для стейка
item_Baking_powder_baking_soda_vanilla_extract_yeast,Baking Powder,אבקת אפייה,Lievito in polvere,Polvo de hornear,Levure chimique,بيكنج بودر,Порошок для выпечки
item_Baking_powder,Baking Powder,אבקת אפייה,Lievito in polvere,Polvo de hornear,Levure chimique,مسحوق الخبز,Порошок для выпечки
item_Baking_soda,Baking Soda,סודה לשתייה,Bicarbonato di sodio,Bicarbonato de sodio,Bicarbonate de soude,بيكربونات الصوديوم,Пищевая сода
item_Vanilla_extract,Vanilla Extract,תמצית וניל,Estratto di vaniglia,Extracto de vainilla,Extrait de vanille,مستخلص الفانيليا,Ванильный экстракт
item_Yeast,Yeast,שמרים,Lievito,Levadura,Levure,خميرة,Дрожжи
item_Cocoa_powder_and_chocolate_chips,Cocoa & Chocolate Chips,קקאו ושוקולד צ'יפס,Cacao e gocce,Cacao y chispas,Cacao et pépites,كاكاو ورقائق شوكولاتة,Какао и шоколадная крошка
item_Cocoa_powder,Cocoa Powder,קקאו,Cacao in polvere,Cacao en polvo,Poudre de cacao,مسحوق الكاكاو,Какао-порошок
item_Chocolate_chips,Chocolate Chips,שוקולד צ'יפס,Gocce di cioccolato,Chispas de chocolate,Pépites de chocolat,رقائق الشوكولاتة,Шоколадная крошка
item_Ketchup_mayonnaise_mustard,Ketchup & Mayo,קטשופ ומיונז,Ketchup e maionese,Ketchup y mayonesa,Ketchup et mayo,كاتشب ومايونيز,Кетчуп и майонез
item_Ketchup,Ketchup,קטשופ,Ketchup,Ketchup,Ketchup,كاتشب,Кетчуп
item_Mayonnaise,Mayonnaise,מיונז,Maionese,Mayonesa,Mayonnaise,مايونيز,Майонез
item_Mustard,Mustard,חרדל,Senape,Mostaza,Moutarde,خردل,Горчица
item_Tomato_paste,Tomato Paste,רסק עגבניות,Concentrato di pomodoro,Pasta de tomate,Concentré de tomates,معجون طماطم,Томатная паста
item_Soy_sauce_teriyaki_sweet_chili,Soy Sauce,רוטב סויה,Salsa di soia,Salsa de soja,Sauce soja,صلصة الصويا,Соевый соус
item_Soy_sauce,Soy Sauce,רוטב סויה,Salsa di soia,Salsa de soja,Sauce soja,صلصة الصويا,Соевый соус
item_Teriyaki_sauce,Teriyaki Sauce,רוטב טריאקי,Salsa teriyaki,Salsa teriyaki,Sauce teriyaki,صلصة ترياكي,Соус терияки
item_Sweet_chili_sauce,Sweet Chili Sauce,צ'ילי מתוק,Salsa peperoncino dolce,Salsa de chile dulce,Sauce chili douce,صلصة الفلفل الحلو,Сладкий соус чили
item_Chocolate_spread_peanut_butter_jam_raw_tahini_honey,Sweet Spreads,ממרחים מתוקים,Creme dolci,Untables dulces,Pâtes à tartiner sucrées,مربى وزبدة فول سوداني,Сладкие пасты
item_Chocolate_spread,Chocolate Spread,ממרח שוקולד,Crema al cioccolato,Crema de chocolate,Pâte à tartiner au chocolat,شوكولاتة للدهن,Шоколадная паста
item_Peanut_butter,Peanut Butter,חמאת בוטנים,Burro di arachidi,Mantequilla de maní,Beurre de cacahuète,زبدة الفول السوداني,Арахисовое масло
item_Jam,Jam,ריבה,Marmellata,Mermelada,Confiture,مربى,Джем
item_Raw_tahini,Raw Tahini,טחינה גולמית,Tahina cruda,Tahini crudo,Tahini cru,طحينة خام,Сырая тахини
item_Honey,Honey,דבש,Miele,Miel,Miel,عسل,Мед
item_Balsamic_vinegar_and_hot_sauce,Vinegar,חומץ,Aceto,Vinagre,Vinaigre,خل,Уксус
item_Balsamic_vinegar,Balsamic Vinegar,חומץ בלסמי,Aceto balsamico,Vinagre balsámico,Vinaigre balsamique,خل بلسمي,Бальзамический уксус
item_Hot_sauce,Hot Sauce,רוטב חריף,Salsa piccante,Salsa picante,Sauce piquante,صلصة حارة,Острый соус
item_Tuna,Tuna,טונה,Tonno,Atún,Thon,تونة,Тунец
item_Corn_peas_and_carrots_baked_beans,Canned Veggies,שימורי ירקות,Verdure in scatola,Verduras enlatadas,Légumes en conserve,خضروات معلبة,Консервированные овощи
item_Canned_corn,Canned Corn,תירס בשימורים,Mais in scatola,Maíz enlatado,Maïs en conserve,ذرة معلبة,Консервированная кукуруза
item_Canned_peas_and_carrots,Peas & Carrots,אפונה וגזר,Piselli e carote,Guisantes y zanahorias,Petits pois et carottes,بازيلاء وجزر,Горох и морковь
item_Baked_beans,Baked Beans,שעועית אפויה,Fagioli al forno,Frijoles horneados,Haricots blancs à la tomate,فاصوليا مطبوخة,Печёная фасоль
item_Olives_pickles,Olives & Pickles,זיתים וחמוצים,Olive e sottaceti,Aceitunas y encurtidos,Olives et cornichons,زيتون ومخللات,Оливки и соленья
item_Olives,Olives,זיתים,Olive,Aceitunas,Olives,زيتون,Оливки
item_Pickles,Pickles,חמוצים,Sottaceti,Encurtidos,Cornichons,مخللات,Солёные огурцы
item_Crushed_tomatoes_Mutti_polpa_,Crushed Tomatoes,עגבניות מרוסקות,Polpa di pomodoro,Tomate triturado,Tomates concassées,طماطم مهروسة,Измельчённые помидоры
item_Coconut_milk_and_canned_soups,Coconut Milk,חלב קוקוס,Latte di cocco,Leche de coco,Lait de coco,حليب جوز الهند,Кокосовое молоко
item_Coconut_milk,Coconut Milk,חלב קוקוס,Latte di cocco,Leche de coco,Lait de coco,حليب جوز الهند,Кокосовое молоко
item_Canned_soups,Canned Soups,מרקים בשימורים,Zuppe in scatola,Sopas enlatadas,Soupes en conserve,حساء معلب,Консервированные супы
item_Sliced_bread_rolls_pita_bread,Sliced Bread,לחם ופיתות,Pane a fette,Pan de molde,Pain en tranches,خبز وخبز بيتا,Нарезанный хлеб
item_Sliced_bread,Sliced Bread,לחם פרוס,Pane a fette,Pan de molde,Pain en tranches,خبز مقطع,Нарезанный хлеб
item_Rolls,Rolls,לחמניות,Panini,Panecillos,Petits pains,لفائف,Роллы
item_Pita_bread,Pita Bread,פיתות,Pane pita,Pan de pita,Pain pita,خبز بيتا,Пита
item_Rice_corn_cakes,Rice Cakes,פריכיות אורז,Gallette di riso,Tortitas de arroz,Galettes de riz,كعك أرز,Рисовые лепешки
item_Rice_cakes,Rice Cakes,פריכיות אורז,Gallette di riso,Tortitas de arroz,Galettes de riz,كعك الأرز,Рисовые лепешки
item_Corn_cakes,Corn Cakes,פריכיות תירס,Gallette di mais,Tortitas de maíz,Galettes de maïs,كعك الذرة,Кукурузные лепешки
item_Breadcrumbs,Breadcrumbs,פירורי לחם,Pangrattato,Pan rallado,Chapelure,فتات الخبز,Панировочные сухари
item_Bagels_and_croissants,Bagels,בייגלה וקרואסונים,Bagel,Bagels,Bagels,خبز بيجل,Бублики
item_Bagels,Bagels,בייגלה,Bagel,Bagels,Bagels,كعك بيغل,Бублики
item_Croissants,Croissants,קרואסונים,Croissant,Croissants,Croissants,كرواسون,Круассаны
item_Coffee_black_instant_capsules_,Coffee,קפה,Caffè,Café,Café,قهوة,Кофе
item_Black_coffee,Black Coffee,קפה שחור,Caffè nero,Café solo,Café noir,قهوة سوداء,Черный кофе
item_Instant_coffee,Instant Coffee,קפה נמס,Caffè istantaneo,Café instantáneo,Café instantané,قهوة سريعة التحضير,Растворимый кофе
item_Coffee_capsules,Coffee Capsules,קפסולות קפה,Capsule di caffè,Cápsulas de café,Capsules de café,كبسولات قهوة,Кофейные капсулы
item_Tea_tea_bags_infusions_,Tea,תה,Tè,Té,Thé,شاي,Чай
item_Tea_bags,Tea Bags,תיונים,Bustine di tè,Bolsitas de té,Sachets de thé,أكياس شاي,Чайные пакетики
item_Tea_infusions,Tea Infusions,חליטות תה,Infusi di tè,Infusiones de té,Infusions de thé,شاي أعشاب,Чайные настои
item_Mineral_water,Mineral Water,מים מינרליים,Acqua minerale,Agua mineral,Eau minérale,مياه معدنية,Минеральная вода
item_Juices_and_syrups_raspberry_orange_juice_carbonated_drinks_,Juice,מיצים וסירופים,Succo,Jugo,Jus,عصير,Сок
item_Juices,Juices,מיצים,Succhi,Jugos,Jus,عصائر,Соки
item_Syrups,Syrups,סירופים,Sciroppi,Siropes,Sirops,عصائر مركزة,Сиропы
item_Carbonated_drinks,Carbonated Drinks,משקאות מוגזים,Bevande gassate,Bebidas carbonatadas,Boissons gazeuses,مشروبات غازية,Газированные напитки
item_Sparkling_water_and_energy_drinks,Sparkling Water,סודה ומשקאות אנרגיה,Acqua frizzante,Agua con gas,Eau gazeuse,مياه غازية,Газированная вода
item_Sparkling_water,Sparkling Water,סודה,Acqua frizzante,Agua con gas,Eau gazeuse,مياه غازية,Газированная вода
item_Energy_drinks,Energy Drinks,משקאות אנרגיה,Bevande energetiche,Bebidas energéticas,Boissons énergisantes,مشروبات طاقة,Энергетические напитки
item_Bamba_Bisli_chips_pretzels,Salty Snacks,חטיפים מלוחים,Snack salati,Snacks salados,Snacks salés,وجبات خفيفة مالحة,Соленые закуски
item_Bamba,Bamba,במבה,Bamba,Bamba,Bamba,بامبا,Бамба
item_Bisli,Bisli,ביסלי,ביסלי,Bisli,Bisli,بيسلي,Биссли
item_Chips,Chips,צ'יפס,Patatine,Patatas fritas,Chips,شيبس,Чипсы
item_Pretzels,Pretzels,בייגלה,Salatini,Pretzels,Bretzels,بريتزل,Крендели
item_Chocolate_cookies_wafers,Chocolate & Cookies,שוקולד ועוגיות,Cioccolato e biscotti,Chocolate y galletas,Chocolat et biscuits,شوكولاتة وبسكويت,Шоколад и печенье
item_Chocolate,Chocolate,שוקולד,Cioccolato,Chocolate,Chocolat,شوكولاتة,Шоколад
item_Cookies,Cookies,עוגיות,Biscotti,Galletas,Biscuits,بسكويت,Печенье
item_Wafers,Wafers,ופלים,Wafer,Obleas,Gaufrettes,ويفر,Вафли
item_Nuts_and_seeds_sunflower_seeds_almonds_walnuts_,Nuts & Seeds,פיצוחים ואגוזים,Noci e semi,Nueces y semillas,Noix et graines,مكسرات وبذور,Орехи и семена
item_Sunflower_seeds,Sunflower Seeds,גרעיני חמנייה,Semi di girasole,Semillas de girasol,Graines de tournesol,بذور دوار الشمس,Семена подсолнечника
item_Almonds,Almonds,שקדים,Mandorle,Almendras,Amandes,لوز,Миндаль
item_Walnuts,Walnuts,אגוזי מלך,Noci,Nueces,Noix,جوز,Грецкие орехи
item_Popcorn_and_dried_fruits,Popcorn & Dried Fruit,פופקורן ופירות יבשים,Popcorn e frutta secca,Palomitas y frutos secos,Pop-corn et fruits secs,فشار وفواكه مجففة,Попкорн и сухофрукты
item_Popcorn,Popcorn,פופקורן,Popcorn,Palomitas,Pop-corn,فشار,Попкорн
item_Dried_fruits,Dried Fruits,פירות יבשים,Frutta secca,Frutas secas,Fruits secs,فواكه مجففة,Сухофрукты
item_Multivitamin,Multivitamin,מולטי-ויטמין,Multivitaminico,Multivitamina,Multivitamine,متعدد الفيتامينات,Поливитамины
item_Vitamin_D_and_Vitamin_C,Vitamin D & C,ויטמין D ו-C,Vitamina D e C,Vitamina D y C,Vitamine D et C,فيتامين D و C,Витамины D и C
item_Vitamin_D,Vitamin D,ויטמין D,Vitamina D,Vitamina D,Vitamine D,فيتامين د,Витамин D
item_Vitamin_C,Vitamin C,ויטמין C,Vitamina C,Vitamina C,Vitamine C,فيتامين سي,Витамин С
item_Omega_3,Omega 3,אומגה 3,Omega 3,Omega 3,Oméga 3,أوميغا 3,Омега-3
item_Iron_Calcium_and_B12,Iron & Calcium,ברזל וסידן,Ferro e calcio,Hierro y calcio,Fer et calcium,حديد وكالسيوم,Железо и кальций
item_Iron_supplement,Iron Supplement,תוסף ברזל,Integratore di ferro,Suplemento de hierro,Supplément de fer,مكمل الحديد,Железосодержащая добавка
item_Calcium_supplement,Calcium Supplement,תוסף סידן,Integratore di calcio,Suplemento de calcio,Supplément de calcium,مكمل الكالسيوم,Добавка кальция
item_B12_supplement,B12 Supplement,תוסף B12,Integratore B12,Suplemento B12,Supplément B12,مكمل ب12,Добавка витамина B12
item_Protein_powder,Protein Powder,אבקת חלבון,Proteine in polvere,Proteína en polvo,Protéine en poudre,بروتين بودرة,Протеиновый порошок
item_Probiotics_and_Magnesium,Probiotics,פרוביוטיקה,Probiotici,Probióticos,Probiotiques,بروبيوتيك,Пробиотики
item_Probiotics,Probiotics,פרוביוטיקה,Probiotici,Probióticos,Probiotiques,بروبيوتيك,Пробиотики
item_Magnesium,Magnesium,מגנזיום,Magnesio,Magnesio,Magnésium,مغنيسيوم,Магний
item_Floor_cleaner,Floor Cleaner,נוזל רצפות,Detergente per pavimenti,Limpiador de suelos,Nettoyant pour sol,منظف أرضيات,Средство для мытья полов
item_Bleach,Bleach,אקונומיקה,Candeggina,Lejía,Eau de Javel,مبيض,Отбеливать
item_Window_cleaner_spray,Window Cleaner,נוזל חלונות,Lavavetri,Limpiacristales,Nettoyant vitres,منظف زجاج,Средство для мытья окон
item_Degreaser,Degreaser,מסיר שומנים,Sgrassatore,Desengrasante,Dégraissant,مزيل دهون,Обезжириватель
item_Toilet_cleaner_spray_liquid,Toilet Cleaner,נוזל אסלות,Detergente per WC,Limpiador de inodoros,Nettoyant WC,منظف تواليت,Чистка туалетов
item_Insect_repellent_spray_K300_etc__,Insect Repellent,קוטל חרקים,Repellente insetti,Repelente de insectos,Répulsif insectes,طارد حشرات,Средство от насекомых
item_Magic_erasers_and_furniture_polish,Magic Erasers,ספוג הפלא,Gomme magiche,Borradores mágicos,Éponges magiques,إسفنج سحري,Волшебные ластики
item_Drain_unblocker_liquid,Drain Unblocker,פותח סתימות,Sgorgante,Desatascador,Déboucheur d'évier,فاتح بالوعات,Средство для прочистки канализации
item_Laundry_detergent_powder_gel_capsules_,Laundry Detergent,חומר כביסה,Detersivo per bucato,Detergente de ropa,Lessive,منظف غسيل,Стиральный порошок
item_Laundry_detergent_powder,Laundry Detergent Powder,אבקת כביסה,Detersivo in polvere,Detergente en polvo,Lessive en poudre,مسحوق غسيل,Стиральный порошок
item_Laundry_detergent_gel,Laundry Detergent Gel,ג'ל כביסה,Detersivo gel,Detergente en gel,Lessive liquide,جل غسيل,Гель для стирки белья
item_Laundry_capsules,Laundry Capsules,קפסולות כביסה,Capsule bucato,Cápsulas de lavado,Capsules de lessive,كبسولات غسيل,Капсулы для стирки
item_Fabric_softener,Fabric Softener,מרכך כביסה,Ammorbidente,Suavizante,Adoucissant,منعم أقمشة,Кондиционер для белья
item_Stain_remover_spray_or_powder_,Stain Remover,מסיר כתמים,Smacchiatore,Quitamanchas,Détachant,مزيل بقع,Средство для удаления пятен
item_Stain_remover_spray,Stain Remover Spray,תרסיס מסיר כתמים,Smacchiatore spray,Quitamanchas spray,Détachant spray,بخاخ مزيل بقع,Спрей для удаления пятен
item_Stain_remover_powder,Stain Remover Powder,אבקת מסיר כתמים,Smacchiatore polvere,Quitamanchas polvo,Détachant poudre,مسحوق مزيل بقع,Порошок для удаления пятен
item_Color_catcher_sheets,Color Catcher,דפי כביסה,Fogli acchiappacolore,Toallitas atrapacolor,Lingettes anti-décoloration,ورق صائد الألوان,Ловец цветов
item_Dish_soap,Dish Soap,סבון כלים,Detersivo piatti,Jabón de platos,Liquide vaisselle,صابون أطباق,Средство для мытья посуды
item_Dishwasher_tablets_capsules,Dishwasher Tablets,טבליות למדיח,Pastiglie lavastoviglie,Pastillas lavavajillas,Pastilles lave-vaisselle,أقراص غسالة أطباق,Таблетки для посудомоечных машин
item_Dishwasher_tablets,Dishwasher Tablets,טבליות למדיח,Pastiglie lavastoviglie,Pastillas lavavajillas,Pastilles lave-vaisselle,أقراص غسالة أطباق,Таблетки для посудомоечных машин
item_Dishwasher_capsules,Dishwasher Capsules,קפסולות למדיח,Capsule lavastoviglie,Cápsulas lavavajillas,Capsules lave-vaisselle,كبسولات غسالة أطباق,Капсулы для посудомоечных машин
item_Dishwasher_salt_rinse_aid,Dishwasher Salt,מלח למדיח,Sale lavastoviglie,Sal para lavavajillas,Sel lave-vaisselle,ملح غسالة أطباق,Соль для посудомоечной машины
item_Dishwasher_salt,Dishwasher Salt,מלח למדיח,Sale lavastoviglie,Sal lavavajillas,Sel lave-vaisselle,ملح غسالة أطباق,Соль для посудомоечной машины
item_Rinse_aid,Rinse Aid,נוזל הברקה,Brillantante,Abrillantador,Liquide de rinçage,مساعد شطف,Ополаскиватель
item_Steel_wool_scrubbing_pads,Steel Wool,ברזלית,Lana d'acciaio,Estropajos de acero,Paille de fer,سلك غسيل,Стальная вата
item_Garbage_bags_large_and_small_,Garbage Bags,שקיות אשפה,Sacchi spazzatura,Bolsas de basura,Sacs poubelle,أكياس قمامة,Мусорные мешки
item_Large_garbage_bags,Large Garbage Bags,שקיות אשפה גדולות,Sacchi spazzatura grandi,Bolsas basura grandes,Grands sacs poubelle,أكياس قمامة كبيرة,Большие мусорные мешки
item_Small_garbage_bags,Small Garbage Bags,שקיות אשפה קטנות,Sacchi spazzatura piccoli,Bolsas basura pequeñas,Petits sacs poubelle,أكياس قمامة صغيرة,Маленькие мусорные мешки
item_Sponges_and_scouring_pads,Sponges,ספוגים,Spugne,Esponjas,Éponges,إسفنج,Губки
item_Sponges,Sponges,ספוגים,Spugne,Esponjas,Éponges,إسفنج,Губки
